date,month,start_date,start_adjusted_close,end_date,end_adjusted_close,nvda_return,source_url
2017-01,Jan 2017,2016-12-30,2.6285512447357178,2017-01-31,2.68863844871521,0.022859437912740255,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-02,Feb 2017,2017-01-31,2.68863844871521,2017-02-28,2.50217342376709,-0.06935295634012228,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-03,Mar 2017,2017-02-28,2.50217342376709,2017-03-31,2.6858675479888916,0.07341382594706225,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-04,Apr 2017,2017-03-31,2.6858675479888916,2017-04-28,2.5717060565948486,-0.042504512733520405,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-05,May 2017,2017-04-28,2.5717060565948486,2017-05-31,3.562959671020508,0.3854459229054199,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-06,Jun 2017,2017-05-31,3.562959671020508,2017-06-30,3.568142890930176,0.0014547512147908837,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-07,Jul 2017,2017-06-30,3.568142890930176,2017-07-31,4.011197566986084,0.12416954410152803,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-08,Aug 2017,2017-07-31,4.011197566986084,2017-08-31,4.185932159423828,0.043561701840838296,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-09,Sept 2017,2017-08-31,4.185932159423828,2017-09-29,4.416426658630371,0.05506407902183241,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-10,Oct 2017,2017-09-29,4.416426658630371,2017-10-31,5.109140396118164,0.15684936964460272,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-11,Nov 2017,2017-10-31,5.109140396118164,2017-11-30,4.961888313293457,-0.028821302882298228,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-12,Dec 2017,2017-11-30,4.961888313293457,2017-12-29,4.783644199371338,-0.03592263724368461,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-01,Jan 2018,2017-12-29,4.783644199371338,2018-01-31,6.076587677001953,0.27028420671431475,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-02,Feb 2018,2018-01-31,6.076587677001953,2018-02-28,5.986364841461182,-0.014847615197298603,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-03,Mar 2018,2018-02-28,5.986364841461182,2018-03-29,5.728850841522217,-0.04301675670607963,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-04,Apr 2018,2018-03-29,5.728850841522217,2018-04-30,5.563360691070557,-0.028887145961665084,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-05,May 2018,2018-04-30,5.563360691070557,2018-05-31,6.242292404174805,0.12203625664501017,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-06,Jun 2018,2018-05-31,6.242292404174805,2018-06-29,5.863829135894775,-0.06062889140324723,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-07,Jul 2018,2018-06-29,5.863829135894775,2018-07-31,6.060858249664307,0.03360075970894849,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-08,Aug 2018,2018-07-31,6.060858249664307,2018-08-31,6.951286315917969,0.14691451764326957,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-09,Sept 2018,2018-08-31,6.951286315917969,2018-09-28,6.959707736968994,0.0012114910346507912,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-10,Oct 2018,2018-09-28,6.959707736968994,2018-10-31,5.221388339996338,-0.24976902230232267,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-11,Nov 2018,2018-10-31,5.221388339996338,2018-11-30,4.05153751373291,-0.22404976417905131,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-12,Dec 2018,2018-11-30,4.05153751373291,2018-12-31,3.309553384780884,-0.18313643312866534,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
