date,month,start_date,start_adjusted_close,end_date,end_adjusted_close,sp500tr_return,source_url
2017-01,Jan 2017,2016-12-30,4278.66015625,2017-01-31,4359.81005859375,0.01896619487883644,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-02,Feb 2017,2017-01-31,4359.81005859375,2017-02-28,4532.93017578125,0.039708178764865654,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-03,Mar 2017,2017-02-28,4532.93017578125,2017-03-31,4538.2099609375,0.0011647620747521348,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-04,Apr 2017,2017-03-31,4538.2099609375,2017-04-28,4584.81982421875,0.010270539195507356,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-05,May 2017,2017-04-28,4584.81982421875,2017-05-31,4649.33984375,0.014072531092810037,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-06,Jun 2017,2017-05-31,4649.33984375,2017-06-30,4678.35986328125,0.006241750550943559,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-07,Jul 2017,2017-06-30,4678.35986328125,2017-07-31,4774.56005859375,0.02056280365850882,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-08,Aug 2017,2017-07-31,4774.56005859375,2017-08-31,4789.18017578125,0.0030620867698973875,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-09,Sept 2017,2017-08-31,4789.18017578125,2017-09-29,4887.97021484375,0.020627755782101964,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-10,Oct 2017,2017-09-29,4887.97021484375,2017-10-31,5002.02978515625,0.023334751501988382,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-11,Nov 2017,2017-10-31,5002.02978515625,2017-11-30,5155.43994140625,0.030669580718061917,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2017-12,Dec 2017,2017-11-30,5155.43994140625,2017-12-29,5212.759765625,0.011118318682830974,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
