Metric,LSQ,S&P 500 Index
Average (arithmetic) return,3.5206140350877213,1.3075506077956485
Average (geometric) return,3.4485213536221693,1.2056258720827273
Percent Positive Months,95.6140350877193,70.17543859649122
Percent Negative Months,4.385964912280701,29.82456140350877
Average Positive Months,3.7219266055045885,3.6163171638758422
Average Negative Months,-0.8680000000000002,-4.1248412888636325
Best Month,21.97,12.819402479140173
Worst Month,-2.2,-12.351349571065617
Mean,3.5206140350877213,1.3075506077956485
Standard deviation,4.001514378174758,4.528627069815164
Skewness,2.6266644305420237,-0.438794641537164
Excess kurtosis,8.443105350916397,0.5239364253231313
Sharpe Ratio,0.8798204135639283,0.2887300251572749
Sortino Ratio,14.525920481154206,0.4680407905555371
Omega Ratio,93.47695852534564,2.0628627785106795
Alpha,3.553834897000299,0.0
Beta,-0.025406941585675608,1.0
