Statistic,LSQ Fund,NVIDIA
Arithmetic Mean Return,3.495221238938055,4.846929974563877
Geometric Mean Return,3.4228569667335673,3.957808484702019
Percent Positive Months,95.57522123893806,64.60176991150442
Percent Negative Months,4.424778761061947,35.39823008849557
Average Positive Month,3.6972222222222237,12.370456795684015
Average Negative Month,-0.8680000000000002,-8.883506473980374
Best Month,21.97,38.54459229054199
Worst Month,-2.2,-32.02740473135195
Mean,3.495221238938055,4.846929974563877
Standard Deviation,4.010102220229272,13.535022862810129
Skewness,2.6495525228012617,-0.04632348391823537
Excess Kurtosis,8.518273050774795,0.12720207439325426
Sharpe Ratio,0.8716040257792284,0.3581028287644549
Sortino Ratio,14.357760783158858,0.6804802884945013
Omega Ratio,92.0046082949309,2.5413482523199886
