date,month,return_decimal,return_percent
2017-01,Jan 2017,0.021400000000000002,2.14
2017-02,Feb 2017,0.0395,3.95
2017-03,Mar 2017,0.034300000000000004,3.4300000000000006
2017-04,Apr 2017,0.0219,2.19
2017-05,May 2017,0.08130000000000001,8.13
2017-06,Jun 2017,-0.0034999999999999996,-0.35
2017-07,Jul 2017,0.0152,1.52
2017-08,Aug 2017,-0.0126,-1.26
2017-09,Sept 2017,0.0333,3.3300000000000005
2017-10,Oct 2017,0.0177,1.77
2017-11,Nov 2017,0.0373,3.73
2017-12,Dec 2017,0.0775,7.75
2018-01,Jan 2018,0.052000000000000005,5.2
2018-02,Feb 2018,0.042800000000000005,4.28
2018-03,Mar 2018,0.021,2.1
2018-04,Apr 2018,0.0246,2.46
2018-05,May 2018,0.0482,4.82
2018-06,Jun 2018,0.0454,4.54
2018-07,Jul 2018,0.0555,5.55
2018-08,Aug 2018,0.0646,6.460000000000001
2018-09,Sept 2018,0.1818,18.18
2018-10,Oct 2018,0.07519999999999999,7.519999999999999
2018-11,Nov 2018,0.0346,3.46
2018-12,Dec 2018,0.0753,7.53
2019-01,Jan 2019,0.024900000000000002,2.49
2019-02,Feb 2019,0.0273,2.73
2019-03,Mar 2019,0.038900000000000004,3.8900000000000006
2019-04,Apr 2019,0.0233,2.33
2019-05,May 2019,0.0177,1.77
2019-06,Jun 2019,0.026000000000000002,2.6
2019-07,Jul 2019,0.0073,0.73
2019-08,Aug 2019,0.0239,2.39
2019-09,Sept 2019,0.0347,3.47
2019-10,Oct 2019,0.013999999999999999,1.4
2019-11,Nov 2019,0.011000000000000001,1.1
2019-12,Dec 2019,0.0308,3.08
2020-01,Jan 2020,0.02,2.0
2020-02,Feb 2020,0.0271,2.71
2020-03,Mar 2020,0.2146,21.46
2020-04,Apr 2020,0.058600000000000006,5.86
2020-05,May 2020,0.04,4.0
2020-06,Jun 2020,0.0625,6.25
2020-07,Jul 2020,0.139,13.900000000000002
2020-08,Aug 2020,0.0304,3.04
2020-09,Sept 2020,0.0407,4.07
2020-10,Oct 2020,0.019299999999999998,1.9299999999999997
2020-11,Nov 2020,0.0562,5.62
2020-12,Dec 2020,0.037000000000000005,3.7000000000000006
2021-01,Jan 2021,0.09449999999999999,9.45
2021-02,Feb 2021,0.11380000000000001,11.38
2021-03,Mar 2021,0.0241,2.41
2021-04,Apr 2021,0.039599999999999996,3.9599999999999995
2021-05,May 2021,0.0227,2.27
2021-06,Jun 2021,0.026600000000000002,2.66
2021-07,Jul 2021,0.026600000000000002,2.66
2021-08,Aug 2021,0.0115,1.15
2021-09,Sept 2021,0.0158,1.58
2021-10,Oct 2021,0.009000000000000001,0.9000000000000001
2021-11,Nov 2021,0.021,2.1
2021-12,Dec 2021,0.029500000000000002,2.95
2022-01,Jan 2022,0.0158,1.58
2022-02,Feb 2022,0.0152,1.52
2022-03,Mar 2022,0.019299999999999998,1.9299999999999997
2022-04,Apr 2022,0.0011,0.11
2022-05,May 2022,0.0127,1.27
2022-06,Jun 2022,-0.0032,-0.32
2022-07,Jul 2022,0.0083,0.83
2022-08,Aug 2022,0.0025,0.25
2022-09,Sept 2022,-0.0021,-0.21
2022-10,Oct 2022,0.006999999999999999,0.7
2022-11,Nov 2022,0.0074,0.74
2022-12,Dec 2022,0.0070999999999999995,0.71
2023-01,Jan 2023,0.0131,1.31
2023-02,Feb 2023,0.0034000000000000002,0.34
2023-03,Mar 2023,0.0173,1.73
2023-04,Apr 2023,0.006999999999999999,0.7
2023-05,May 2023,0.0213,2.13
2023-06,Jun 2023,0.0062,0.62
2023-07,Jul 2023,0.0066,0.66
2023-08,Aug 2023,0.0046,0.45999999999999996
2023-09,Sept 2023,0.0092,0.9199999999999999
2023-10,Oct 2023,0.0029,0.29
2023-11,Nov 2023,0.0196,1.96
2023-12,Dec 2023,0.0074,0.74
2024-01,Jan 2024,0.0325,3.25
2024-02,Feb 2024,0.0197,1.97
2024-03,Mar 2024,0.0134,1.34
2024-04,Apr 2024,0.0187,1.87
2024-05,May 2024,-0.022000000000000002,-2.2
2024-06,Jun 2024,0.0165,1.6500000000000001
2024-07,Jul 2024,0.0067,0.67
2024-08,Aug 2024,0.0064,0.64
2024-09,Sept 2024,0.0269,2.69
2024-10,Oct 2024,0.0762,7.62
2024-11,Nov 2024,0.0424,4.24
2024-12,Dec 2024,0.0102,1.02
2025-01,Jan 2025,0.016,1.6
2025-02,Feb 2025,0.0683,6.83
2025-03,Mar 2025,0.0123,1.23
2025-04,Apr 2025,0.0109,1.09
2025-05,May 2025,0.0675,6.75
2025-06,Jun 2025,0.0222,2.22
2025-07,Jul 2025,0.05,5.0
2025-08,Aug 2025,0.028399999999999998,2.84
2025-09,Sept 2025,0.16440000000000002,16.44
2025-10,Oct 2025,0.21969999999999998,21.97
2025-11,Nov 2025,0.0285,2.85
2025-12,Dec 2025,0.031200000000000002,3.12
2026-01,Jan 2026,0.0672,6.72
2026-02,Feb 2026,0.018799999999999997,1.8799999999999997
2026-03,Mar 2026,0.0368,3.6799999999999997
2026-04,Apr 2026,0.029500000000000002,2.95
2026-05,May 2026,0.0764,7.64
