date,Fund_X_Return_Pct,R_F,Fund_X_Excess_Return_Pct,R_MKT,R_ME,R_IA,R_ROE,R_EG
2017-01,2.1400000000,0.0358000000,2.1042000000,1.9370000000,-1.8672000000,-2.0241000000,-1.3102000000,0.6218000000
2017-02,3.9500000000,0.0364000000,3.9136000000,3.5584000000,-1.6698000000,-2.2401000000,2.0078000000,2.4406000000
2017-03,3.4300000000,0.0353000000,3.3947000000,0.1670000000,1.2536000000,-1.2934000000,1.9001000000,1.1901000000
2017-04,2.1900000000,0.0537000000,2.1363000000,1.0875000000,0.6004000000,-1.5686000000,1.0154000000,1.6122000000
2017-05,8.1300000000,0.0614000000,8.0686000000,1.0635000000,-2.5720000000,-1.5590000000,1.3157000000,2.6350000000
2017-06,-0.3500000000,0.0617000000,-0.4117000000,0.7961000000,3.0521000000,-0.5345000000,-1.3137000000,-1.8924000000
2017-07,1.5200000000,0.0722000000,1.4478000000,1.8659000000,-1.1236000000,-0.4271000000,1.5283000000,1.0275000000
2017-08,-1.2600000000,0.0827000000,-1.3427000000,0.1618000000,-1.4574000000,-2.8822000000,0.3922000000,1.5105000000
2017-09,3.3300000000,0.0944000000,3.2356000000,2.5060000000,4.9120000000,3.1438000000,0.4345000000,-1.7530000000
2017-10,1.7700000000,0.0840000000,1.6860000000,2.2515000000,-1.3342000000,-3.3036000000,1.3833000000,2.8975000000
2017-11,3.7300000000,0.0826000000,3.6474000000,3.1198000000,0.2129000000,-0.4942000000,1.8838000000,1.1959000000
2017-12,7.7500000000,0.0884000000,7.6616000000,1.0534000000,-0.9099000000,1.7421000000,0.3374000000,-1.0759000000
2018-01,5.2000000000,0.1121000000,5.0879000000,5.5760000000,-2.7684000000,-1.2930000000,-1.2809000000,2.6048000000
2018-02,4.2800000000,0.1073000000,4.1727000000,-3.6447000000,0.1829000000,-1.6974000000,-0.7708000000,4.4591000000
2018-03,2.1000000000,0.0261000000,2.0739000000,-2.2549000000,2.8006000000,-0.1118000000,0.1524000000,0.4776000000
2018-04,2.4600000000,0.1433000000,2.3167000000,0.2834000000,0.2773000000,1.5885000000,-0.0349000000,-0.8631000000
2018-05,4.8200000000,0.1401000000,4.6799000000,2.6476000000,4.9662000000,-0.9604000000,-1.7579000000,2.3034000000
2018-06,4.5400000000,0.1408000000,4.3992000000,0.4891000000,0.6131000000,-0.3933000000,1.4069000000,0.0967000000
2018-07,5.5500000000,0.1558000000,5.3942000000,3.1971000000,-1.3016000000,0.4683000000,1.9789000000,1.4037000000
2018-08,6.4600000000,0.1575000000,6.3025000000,3.4468000000,1.5026000000,-2.4114000000,0.3614000000,4.3046000000
2018-09,18.1800000000,0.1490000000,18.0310000000,0.0593000000,-3.0996000000,1.4520000000,0.7173000000,1.0672000000
2018-10,7.5200000000,0.1890000000,7.3310000000,-7.6459000000,-4.7534000000,4.1692000000,1.2685000000,-0.7547000000
2018-11,3.4600000000,0.1795000000,3.2805000000,1.7068000000,-0.7820000000,-0.9846000000,0.6952000000,2.7574000000
2018-12,7.5300000000,0.1930000000,7.3370000000,-9.5424000000,-3.0373000000,-0.8462000000,1.2795000000,2.5220000000
2019-01,2.4900000000,0.1920000000,2.2980000000,8.4095000000,2.0485000000,-1.0005000000,-3.9559000000,-7.1401000000
2019-02,2.7300000000,0.1809000000,2.5491000000,3.3945000000,1.1896000000,-2.5924000000,0.5313000000,1.3959000000
2019-03,3.8900000000,0.1935000000,3.6965000000,1.1000000000,-3.4466000000,-0.4942000000,0.1059000000,0.6733000000
