date,Fund_X_Return_Pct,Source
2017-01,2.1400000000,Fund X net-of-fees series used in the Boyle project workspace
2017-02,3.9500000000,Fund X net-of-fees series used in the Boyle project workspace
2017-03,3.4300000000,Fund X net-of-fees series used in the Boyle project workspace
2017-04,2.1900000000,Fund X net-of-fees series used in the Boyle project workspace
2017-05,8.1300000000,Fund X net-of-fees series used in the Boyle project workspace
2017-06,-0.3500000000,Fund X net-of-fees series used in the Boyle project workspace
2017-07,1.5200000000,Fund X net-of-fees series used in the Boyle project workspace
2017-08,-1.2600000000,Fund X net-of-fees series used in the Boyle project workspace
2017-09,3.3300000000,Fund X net-of-fees series used in the Boyle project workspace
2017-10,1.7700000000,Fund X net-of-fees series used in the Boyle project workspace
2017-11,3.7300000000,Fund X net-of-fees series used in the Boyle project workspace
2017-12,7.7500000000,Fund X net-of-fees series used in the Boyle project workspace
2018-01,5.2000000000,Fund X net-of-fees series used in the Boyle project workspace
2018-02,4.2800000000,Fund X net-of-fees series used in the Boyle project workspace
2018-03,2.1000000000,Fund X net-of-fees series used in the Boyle project workspace
2018-04,2.4600000000,Fund X net-of-fees series used in the Boyle project workspace
2018-05,4.8200000000,Fund X net-of-fees series used in the Boyle project workspace
2018-06,4.5400000000,Fund X net-of-fees series used in the Boyle project workspace
2018-07,5.5500000000,Fund X net-of-fees series used in the Boyle project workspace
2018-08,6.4600000000,Fund X net-of-fees series used in the Boyle project workspace
2018-09,18.1800000000,Fund X net-of-fees series used in the Boyle project workspace
2018-10,7.5200000000,Fund X net-of-fees series used in the Boyle project workspace
2018-11,3.4600000000,Fund X net-of-fees series used in the Boyle project workspace
2018-12,7.5300000000,Fund X net-of-fees series used in the Boyle project workspace
2019-01,2.4900000000,Fund X net-of-fees series used in the Boyle project workspace
2019-02,2.7300000000,Fund X net-of-fees series used in the Boyle project workspace
2019-03,3.8900000000,Fund X net-of-fees series used in the Boyle project workspace
2019-04,2.3300000000,Fund X net-of-fees series used in the Boyle project workspace
2019-05,1.7700000000,Fund X net-of-fees series used in the Boyle project workspace
2019-06,2.6000000000,Fund X net-of-fees series used in the Boyle project workspace
2019-07,0.7300000000,Fund X net-of-fees series used in the Boyle project workspace
2019-08,2.3900000000,Fund X net-of-fees series used in the Boyle project workspace
2019-09,3.4700000000,Fund X net-of-fees series used in the Boyle project workspace
2019-10,1.4000000000,Fund X net-of-fees series used in the Boyle project workspace
2019-11,1.1000000000,Fund X net-of-fees series used in the Boyle project workspace
2019-12,3.0800000000,Fund X net-of-fees series used in the Boyle project workspace
2020-01,2.0000000000,Fund X net-of-fees series used in the Boyle project workspace
2020-02,2.7100000000,Fund X net-of-fees series used in the Boyle project workspace
2020-03,21.4600000000,Fund X net-of-fees series used in the Boyle project workspace
2020-04,5.8600000000,Fund X net-of-fees series used in the Boyle project workspace
2020-05,4.0000000000,Fund X net-of-fees series used in the Boyle project workspace
2020-06,6.2500000000,Fund X net-of-fees series used in the Boyle project workspace
2020-07,13.9000000000,Fund X net-of-fees series used in the Boyle project workspace
2020-08,3.0400000000,Fund X net-of-fees series used in the Boyle project workspace
2020-09,4.0700000000,Fund X net-of-fees series used in the Boyle project workspace
2020-10,1.9300000000,Fund X net-of-fees series used in the Boyle project workspace
2020-11,5.6200000000,Fund X net-of-fees series used in the Boyle project workspace
2020-12,3.7000000000,Fund X net-of-fees series used in the Boyle project workspace
2021-01,9.4500000000,Fund X net-of-fees series used in the Boyle project workspace
2021-02,11.3800000000,Fund X net-of-fees series used in the Boyle project workspace
2021-03,2.4100000000,Fund X net-of-fees series used in the Boyle project workspace
2021-04,3.9600000000,Fund X net-of-fees series used in the Boyle project workspace
2021-05,2.2700000000,Fund X net-of-fees series used in the Boyle project workspace
2021-06,2.6600000000,Fund X net-of-fees series used in the Boyle project workspace
2021-07,2.6600000000,Fund X net-of-fees series used in the Boyle project workspace
2021-08,1.1500000000,Fund X net-of-fees series used in the Boyle project workspace
2021-09,1.5800000000,Fund X net-of-fees series used in the Boyle project workspace
2021-10,0.9000000000,Fund X net-of-fees series used in the Boyle project workspace
2021-11,2.1000000000,Fund X net-of-fees series used in the Boyle project workspace
2021-12,2.9500000000,Fund X net-of-fees series used in the Boyle project workspace
2022-01,1.5800000000,Fund X net-of-fees series used in the Boyle project workspace
2022-02,1.5200000000,Fund X net-of-fees series used in the Boyle project workspace
2022-03,1.9300000000,Fund X net-of-fees series used in the Boyle project workspace
